Start_Date,End_Date,Elec,Fuel
30-Jun-14,31-Jul-14,81600,19100000
31-Jul-14,31-Aug-14,68400,17500000
31-Aug-14,30-Sep-14,69600,21400000
30-Sep-14,31-Oct-14,46800,75900000
31-Oct-14,30-Nov-14,22800,716300000
30-Nov-14,31-Dec-14,24000,976300000
31-Dec-14,31-Jan-15,22800,1338900000
31-Jan-15,28-Feb-15,26400,638600000
28-Feb-15,31-Mar-15,22800,969800000
31-Mar-15,30-Apr-15,20400,461500000
30-Apr-15,31-May-15,55200,185900000
31-May-15,30-Jun-15,62400,19900000
30-Jun-15,31-Jul-15,68400,18500000
31-Jul-15,31-Aug-15,84000,19600000
31-Aug-15,30-Sep-15,66000,17900000
30-Sep-15,31-Oct-15,33600,97100000
31-Oct-15,30-Nov-15,25200,356200000
30-Nov-15,31-Dec-15,21600,525100000
31-Dec-15,31-Jan-16,26400,1003900000
31-Jan-16,29-Feb-16,21600,667100000
29-Feb-16,31-Mar-16,20400,498600000
31-Mar-16,30-Apr-16,20400,338300000
30-Apr-16,31-May-16,25200,144100000
31-May-16,30-Jun-16,51600,18200000
