Start_Date,End_Date,Elec,Fuel
30-Jun-14,31-Jul-14,531200,435810000
31-Jul-14,31-Aug-14,487200,488346000
31-Aug-14,30-Sep-14,471200,333126000
30-Sep-14,31-Oct-14,423200,323574000
31-Oct-14,30-Nov-14,336800,1032810000
30-Nov-14,31-Dec-14,404000,2106216000
31-Dec-14,31-Jan-15,381600,3124698000
31-Jan-15,28-Feb-15,410400,3211860000
28-Feb-15,31-Mar-15,404800,2169498000
31-Mar-15,30-Apr-15,356800,992214000
30-Apr-15,31-May-15,430400,408348000
31-May-15,30-Jun-15,458400,308052000
30-Jun-15,31-Jul-15,525600,308052000
31-Jul-15,31-Aug-15,566400,333126000
31-Aug-15,30-Sep-15,536800,470436000
30-Sep-15,31-Oct-15,464000,475212000
31-Oct-15,30-Nov-15,368000,434616000
30-Nov-15,31-Dec-15,404800,832218000
31-Dec-15,31-Jan-16,380800,1586826000
31-Jan-16,29-Feb-16,421600,1700256000
29-Feb-16,31-Mar-16,364000,1029228000
31-Mar-16,30-Apr-16,394400,647148000
30-Apr-16,31-May-16,359200,395214000
31-May-16,30-Jun-16,532800,457302000
