Start_Date,End_Date,Elec,Fuel
30-Jun-14,31-Jul-14,319914,103178793.6
31-Jul-14,31-Aug-14,279180,172837231.2
31-Aug-14,30-Sep-14,286466,260517427.2
30-Sep-14,31-Oct-14,243693,260244240
31-Oct-14,30-Nov-14,181076,1248215242
30-Nov-14,31-Dec-14,207446,3224468640
31-Dec-14,31-Jan-15,185049,4044624852
31-Jan-15,28-Feb-15,188874,4478394545
28-Feb-15,31-Mar-15,190510,3150213302
31-Mar-15,30-Apr-15,176461,787411000.8
30-Apr-15,31-May-15,215323,427734261.6
31-May-15,30-Jun-15,261075,302657508
30-Jun-15,31-Jul-15,311421,372771098.4
31-Jul-15,31-Aug-15,307927,285719901.6
31-Aug-15,30-Sep-15,283712,288050112
30-Sep-15,31-Oct-15,251022,578397957.6
31-Oct-15,30-Nov-15,195168,1004144448
30-Nov-15,31-Dec-15,225978,1573743581
31-Dec-15,31-Jan-16,205885,3308484211
31-Jan-16,29-Feb-16,217644,3034417750
29-Feb-16,31-Mar-16,197406,1807515886
31-Mar-16,30-Apr-16,208444,1112726808
30-Apr-16,31-May-16,186471,337272523.2
31-May-16,30-Jun-16,283230,280501166.4
