Start_Date,End_Date,Elec,Fuel
30-Jun-14,31-Jul-14,351200,0
31-Jul-14,31-Aug-14,308800,0
31-Aug-14,30-Sep-14,308000,0
30-Sep-14,31-Oct-14,288000,4776000
31-Oct-14,30-Nov-14,244800,471630000
30-Nov-14,31-Dec-14,288000,780876000
31-Dec-14,31-Jan-15,275200,1371906000
31-Jan-15,28-Feb-15,280000,1450710000
28-Feb-15,31-Mar-15,276800,925350000
31-Mar-15,30-Apr-15,245600,126564000
30-Apr-15,31-May-15,257600,2388000
31-May-15,30-Jun-15,279200,4776000
30-Jun-15,31-Jul-15,308000,0
31-Jul-15,31-Aug-15,297600,0
31-Aug-15,30-Sep-15,284000,0
30-Sep-15,31-Oct-15,284800,66864000
31-Oct-15,30-Nov-15,254400,192234000
30-Nov-15,31-Dec-15,282400,286560000
31-Dec-15,31-Jan-16,269600,959976000
31-Jan-16,29-Feb-16,292800,866844000
29-Feb-16,31-Mar-16,254400,426258000
31-Mar-16,30-Apr-16,252800,230442000
30-Apr-16,31-May-16,256000,91938000
31-May-16,30-Jun-16,327200,0
