STATION,STATION_NAME,DATE,TAVG
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980401,57
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980402,57
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980403,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980404,44
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980405,45
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980406,50
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980407,56
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980408,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980409,45
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980410,47
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980411,52
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980412,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980413,58
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980414,56
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980415,54
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980416,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980417,61
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980418,57
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980419,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980420,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980421,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980422,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980423,51
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980424,60
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980425,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980426,50
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980427,49
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980428,53
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980429,61
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980430,66
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980501,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980502,62
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980503,61
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980504,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980505,58
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980506,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980507,61
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980508,57
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980509,58
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980510,56
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980511,56
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980512,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980513,55
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980514,59
GHCND:USW00014732,LA GUARDIA AIRPORT NY US,19980515,69
